client | 11:26:29 >> [Thread 5] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 46] Client started; opening data_3.csv
client | 11:26:29 >> [Thread 46] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 31] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 47] Client started; opening data_4.csv
client | 11:26:29 >> [Thread 48] Client started; opening data_5.csv
client | 11:26:29 >> [Thread 7] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 17] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 33] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 49] Client started; opening data_6.csv
client | 11:26:29 >> [Thread 18] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 50] Client started; opening data_7.csv
client | 11:26:29 >> [Thread 34] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 51] Client started; opening data_8.csv
client | 11:26:29 >> [Thread 20] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 19] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 35] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 10] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 12] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 36] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 11] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 52] Client started; opening data_9.csv
client | 11:26:29 >> [Thread 52] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 38] Client started; opening data_6.csv
client | 11:26:29 >> [Thread 39] Client started; opening data_7.csv
client | 11:26:29 >> [Thread 54] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 55] Client started; opening data_1.csv
client | 11:26:29 >> [Thread 40] Client started; opening data_8.csv
client | 11:26:29 >> [Thread 22] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 24] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 34] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 23] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 57] Client started; opening data_3.csv
client | 11:26:29 >> [Thread 58] Client started; opening data_4.csv
client | 11:26:29 >> [Thread 42] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 41] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 26] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 43] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 59] Client started; opening data_5.csv
client | 11:26:29 >> [Thread 60] Client started; opening data_6.csv
client | 11:26:29 >> [Thread 37] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 6] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 61] Client started; opening data_7.csv
client | 11:26:29 >> [Thread 13] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 45] Client started; opening data_2.csv
client | 11:26:29 >> [Thread 4] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 27] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 25] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 21] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 15] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 62] Client started; opening data_8.csv
client | 11:26:29 >> [Thread 14] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 32] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 8] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 63] Client started; opening data_9.csv
client | 11:26:29 >> [Thread 2] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 16] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 47] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 49] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 64] Client started; opening data_10.csv
client | 11:26:29 >> [Thread 48] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 44] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 65] Client started; opening data_11.csv
client | 11:26:29 >> [Thread 65] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 9] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 50] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 51] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 28] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 66] Client started; opening data_1.csv
